ALA climb new york 2014
2014-3-01

100
   110, Paul Curley,58,M,   7:10,   1/12,M5059,???,TOWER MASTERS
   388, Stephen Marsalese,48,M,   7:16,   1/34,M4049,PORT CHESTER       NY,TOWER MASTERS
     1, Kamen Yotov,36,M,   7:31,   1/42,M3039,BROOKLYN           NY,TOWER MASTERS
    21, John Theissen,42,M,   7:57,   2/34,M4049,SEAFORD            NY,
     6, Bruce Yang,45,M,   8:05,   3/34,M4049,WEST NYACK         NY,TOWER MASTERS
     4, Johnny Mendoza,43,M,   8:11,   4/34,M4049,NEW YORK           NY,
     3, Brian Harkins,39,M,   8:29,   2/42,M3039,NY                 NY,TEAM VNO
    31, Daniel Egan,30,M,   8:32,   3/42,M3039,NEW YORK           NY,TEAM VNO
     5, Greg Paciorek,32,M,   8:36,   4/42,M3039,NY                 NY,TEAM VNO
     2, James McNamara,58,M,   8:45,   2/12,M5059,FANWOOD            NJ,TOWER MASTERS
   501, Denis Sweeney,34,M,   8:47,   1/84,M-FIR,NEW YORK           NY,FDNY RUNNING CLUB
    82, James Webster,28,M,   8:49,   1/33,M1929,NEW YORK           NY,JERRY & CHARLIE'S ANGELS
    16, Chris Peralta,43,M,   8:54,   5/34,M4049,BROOKLYN           NY,PUFF PUFF THE MAGIC DRAGONS
     7, Michael Racanello,46,M,   9:06,   6/34,M4049,CORTLANDT MANOR    NY,TEAM VNO
    81, Kate Webster,31,F,   9:07,   1/54,F3039,NEW YORK           NY,JERRY & CHARLIE'S ANGELS
    23, Tricia O'Hara,47,F,   9:11,   1/35,F4049,SAN FRANCISCO      CA,
     8, Dwayne McNicholas,33,M,   9:12,   5/42,M3039,NY                 NY,TEAM VNO
    12, Sam Myers,14,M,   9:12,   1/8,M-18,LAFAYETTE HILL     PA,TOWER MASTERS
   504, Shane Clarke,34,M,   9:18,   2/84,M-FIR,BROOKLYN           NY,FDNY RUNNING CLUB
    22, Lynda Hubbard,42,F,   9:21,   2/35,F4049,OCEANSIDE          NY,
    11, Ken Myers,45,M,   9:22,   7/34,M4049,LAFAYETTE HILL     PA,TOWER MASTERS
    18, John Robison,35,M,   9:28,   6/42,M3039,NY                 NY,TEAM VNO
   107, Michael Maxwell,25,M,   9:28,   2/33,M1929,NEW YORK           NY,LMIC
   169, Christina Mark,31,F,   9:36,   2/54,F3039,NEW YORK           NY,
   101, Jordan Milman,,M,   9:49,,,?                  NY,SEILBACKS STEPPERS
   197, Steve Beyer,46,M,   9:53,   8/34,M4049,BERKELEY HEIGHTS   NJ,TEAM BEYER
   363, Ari Burger,26,M,  10:03,   3/33,M1929,WOODSIDE           NY,PEOPLE'S UNITED BANK
   503, Seankelly McCauley,26,M,  10:06,   3/84,M-FIR,STATEN ISLAND      NY,FDNY RUNNING CLUB
   502, Kieran O'Neill,30,M,  10:11,   4/84,M-FIR,BLAUVELT           NY,FDNY RUNNING CLUB
   139, Elik Hirsch,41,M,  10:11,   9/34,M4049,BELLEROSE          NY,TEAM HIRSCH
   263, Kevin McCormack,36,M,  10:12,   7/42,M3039,NEW YORK           NY,
   211, Richard Gregory,28,M,  10:17,   4/33,M1929,STAMFORD           CT,TEAM GLO
   190, Steven Fonovich,29,M,  10:18,   5/33,M1929,FLUSHING           NY,
   378, Bruce Soltys,34,M,  10:20,   5/84,M-FIR,VERONA             NJ,BLOOMFIELD FIRE DEPT
   534, Dan Meenan,47,M,  10:25,   6/84,M-FIR,PROVIDENCE         RI,STAMFORD FIRE DEPARTMENT
   284, John Lobrutto,26,M,  10:30,   6/33,M1929,RONKONKOMA         NY,TEAM VENTILHATAS
   519, Carl Mercado,30,M,  10:30,   7/84,M-FIR,BLOOMFIELD         NJ,BLOOMFIELD FIRE DEPT
    17, Le Nguyen,31,F,  10:34,   3/54,F3039,NY                 NY,TEAM VNO
   238, Wai Chin,31,M,  10:35,   8/42,M3039,BROOKLYN           NY,PULMONARY WELLNESS
   124, Lindsey Gleason,32,F,  10:35,   4/54,F3039,MANORVILLE         NY,CLIMBFORAJ
    13, Julianne Yotov,10,F,  10:36,   1/9,F-18,BROOKLYN           NY,TOWER MASTERS
    41, Rory Evans,32,M,  10:42,   9/42,M3039,NEW YORK           NY,TEAM VNO
    98, Michael Seilback,34,M,  10:43,  10/42,M3039,COMMACK            NY,SEILBACKS STEPPERS
   196, Bobby Randall,25,M,  10:46,   7/33,M1929,WESTERLY           RI,STEP UP 5
   143, Donald Hinrichs,48,M,  10:46,  10/34,M4049,NORTHPORT          NY,
   176, Tina Ohare,44,F,  10:52,   3/35,F4049,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
   207, Dashiell Teter,28,M,  10:53,   8/33,M1929,HARRISON           NY,TEAM GLO
    29, David Greenbaum,62,M,  10:53,   1/6,M60+,NEW YORK           NY,TEAM VNO
   192, Billy Busch,29,M,  10:59,   9/33,M1929,JERSEY CITY        NJ,FOR LISA'S LAUGH
   289, Pedro Williams,46,M,  11:02,  11/34,M4049,RIDGE              NY,TEAM VENTILHATAS
   523, Jose Perez,36,M,  11:07,   8/84,M-FIR,WEST ORANGE        NJ,BELLEVILLE FIRE DEPT
   520, Michael Nicosia,38,M,  11:08,   9/84,M-FIR,BLOOMFIELD         NJ,BLOOMFIELD FIRE DEPT
   349, Nicholas Brown,30,M,  11:13,  11/42,M3039,BROOKLYN           NY,BARB'S BEASTS
    55, Michael Morales,45,M,  11:13,  12/34,M4049,NEW YORK           NY,
   201, Matthew Kelly,26,M,  11:14,  10/33,M1929,BEACON             NY,TEAM PHYL
   533, Stuart Rieve,52,M,  11:15,  10/84,M-FIR,STAMFORD           CT,STAMFORD FIRE DEPARTMENT
   156, Jeff Herbst,28,M,  11:18,  11/33,M1929,NEW YORK           NY,LJC SPIRIT
   189, Kristin Wnuk,33,F,  11:21,   5/54,F3039,LONG ISLAND CITY   NY,
   125, Chris McGee,41,M,  11:24,  13/34,M4049,ALPHA              NJ,CLIMBFORAJ
   513, Anthony Minervino,43,M,  11:25,  11/84,M-FIR,WEST ORANGE        NJ,BLOOMFIELD FIRE DEPT
    27, Andrew Rafii,32,M,  11:27,  12/42,M3039,GREAT NECK         NY,TEAM VNO
   505, Scott Chappe,55,M,  11:35,  12/84,M-FIR,STATEN ISLAND      NY,FDNY RUNNING CLUB
   149, David Straus,34,M,  11:37,  13/42,M3039,NEW YORK           NY,SHOREGROUP
    35, Tyler Engel,24,M,  11:40,  12/33,M1929,LONG ISLAND CITY   NY,TEAM VNO
   532, James Tarzia,44,M,  11:42,  13/84,M-FIR,STAMFORD           CT,STAMFORD FIRE DEPARTMENT
   524, Billy Tamburri,44,M,  11:42,  14/84,M-FIR,BELLEVILLE         NJ,BELLEVILLE FIRE DEPT
   157, Brian Fong,34,M,  11:46,  14/42,M3039,MORRISTOWN         NJ,"FOREST LABORATORIES, INC."
   567, Brendan Lunny,30,M,  11:46,  15/84,M-FIR,BELLE HARBOR       NY,BC DENNIS CROSS EAGLE TEAM
   119, Nicole Bruno,27,F,  11:48,   1/64,F1929,NESCONSET          NY,CLIMBFORAJ
   308, Craig Dename,32,M,  11:49,  15/42,M3039,WANTAGH            NY,TEAM AIRRABITO
   293, Jessa Seremba,50,F,  11:50,   1/22,F5059,NUTLEY             NJ,
    33, Danielle Rothman,22,F,  11:51,   2/64,F1929,NEW YORK           NY,TEAM VNO
   575, Reginald Merritt,27,M,  11:54,  16/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   102, Andrew Luftig,34,M,  11:54,  16/42,M3039,NEW YORK           NY,SEILBACKS STEPPERS
   105, Jeffrey Greenspan,34,M,  11:57,  17/42,M3039,NEW YORK           NY,SEILBACKS STEPPERS
   246, Madisen Kegans,22,F,  11:58,   3/64,F1929,NEW YORK           NY,MARYMOUNT MANHATTAN COLLEGE CLIMBERS
   387, David Saintiche,20,M,  11:58,  13/33,M1929,HOLLIS             NY,
   160, Rachel Vesey,28,F,  12:00,   4/64,F1929,NEW YORK           NY,STAD SQUAD CLIPPERS
    20, Steve Theriot,54,M,  12:00,   3/12,M5059,SUMMIT             NJ,TEAM VNO
   507, Louis Venezia,36,M,  12:00,  17/84,M-FIR,WEST CALDWELL      NJ,BLOOMFIELD FIRE DEPT
   526, Ralph Castellano,57,M,  12:01,  18/84,M-FIR,EDISON             NJ,BELLEVILLE FIRE DEPT
   133, Bobby Shayka,36,M,  12:01,  18/42,M3039,WOODLAND PARK      NJ,TEAM ROSEMARY
   145, Anthony Porto,38,M,  12:03,  19/42,M3039,FAIRFIELD          CT,
    24, Carlos Gil,65,M,  12:03,   2/6,M60+,JAMAICA            NY,PUFF PUFF THE MAGIC DRAGONS
   198, Michelle Roth,48,F,  12:03,   4/35,F4049,BERKELEY HEIGHTS   NJ,TEAM BEYER
   175, Sherilyn Batista,30,F,  12:04,   6/54,F3039,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
   603, Mark Forland,27,M,  12:04,  19/84,M-FIR,?,BC DENNIS CROSS EAGLE TEAM
   307, Jaclyn Hannon,29,F,  12:05,   5/64,F1929,WANTAGH            NY,TEAM AIRRABITO
   159, Christina Sanchez,28,F,  12:08,   6/64,F1929,NEW YORK           NY,STAD SQUAD CLIPPERS
    65, Cynthia Chan,47,F,  12:10,   5/35,F4049,REGO PARK          NY,
   330, Frank Jr. Verona,12,M,  12:11,   2/8,M-18,HIGHLAND           NY,TEAM AIRRABITO
   347, Matthew Robisch,29,M,  12:12,  14/33,M1929,ASTORIA            NY,BARB'S BEASTS
   343, Jeff Cronin,42,M,  12:13,  14/34,M4049,HOBOKEN            NJ,CPA'S ON THE RISE
    14, Mark Bhasin,39,M,  12:13,  20/42,M3039,NEW YORK           NY,
   134, Bill Dolinsky,64,M,  12:13,   3/6,M60+,TOTOWA             NJ,TEAM ROSEMARY
   166, Scott Sweeney,45,M,  12:18,  15/34,M4049,TERRYVILLE         CT,
   529, Michael San Philip,31,M,  12:20,  20/84,M-FIR,WEST CALDWELL      NJ,BELLEVILLE FIRE DEPT
   553, Michael Gibbons,47,F,  12:22,   1/3,F-FIR,EAST HANOVER       NJ,NEWARK FIRE DEPARTMENT
    37, Jacqueline Malleo,26,F,  12:24,   7/64,F1929,HOBOKEN            NJ,TEAM VNO
   262, Gerry Fortilus,22,M,  12:24,  15/33,M1929,HOLLIS             NY,HEARTS2C46
   353, Jill Whitney,39,F,  12:27,   7/54,F3039,RIDGEWOOD          NJ,CHAPMAN AND CUTLER LLP
    67, Elliot Torres,37,M,  12:30,  21/42,M3039,JACKSON HEIGHTS    NY,
    28, Charles Doyle,50,M,  12:30,   4/12,M5059,CHESTER            NY,TEAM VNO
   191, Duncan Ndirangu,30,M,  12:34,  22/42,M3039,JERSEY CITY        NJ,
   342, Ralph Loggia,42,M,  12:34,  16/34,M4049,NEW YORK           NY,CPA'S ON THE RISE
   129, Helen Graneto,37,F,  12:35,   8/54,F3039,BAYVILLE           NY,STEP BY STEP CHARITABLE FOUNDATION
   365, Andre Brown,37,M,  12:36,  23/42,M3039,BRONX              NY,PEOPLE'S UNITED BANK
   601, Julio Medina,34,M,  12:37,  21/84,M-FIR,BELLEVILLE         NJ,NEWARK FIRE DEPARTMENT
   568, Anthony Frangella,31,M,  12:38,  22/84,M-FIR,OYSTER BAY         NY,
   535, Ryan Southard,25,M,  12:39,  23/84,M-FIR,?,STAMFORD FIRE DEPARTMENT
   600, Andy Vogel,40,M,  12:41,  24/84,M-FIR,ROSELAND           NJ,ROSELAND FIRE DEPARTMENT
   168, Christine Hanmer,42,F,  12:44,   6/35,F4049,HAUPPAUGE          NY,
   352, Nick Whitney,40,M,  12:45,  17/34,M4049,RIDGEWOOD          NJ,CHAPMAN AND CUTLER LLP
    64, Toni Knight,29,F,  12:46,   8/64,F1929,BRONX              NY,"UP, UP AND AWAY"
   525, George Pedalino,58,M,  12:47,  25/84,M-FIR,BELLEVILLE         NJ,BELLEVILLE FIRE DEPT
    49, Kyle Fricker,27,M,  12:48,  16/33,M1929,NEW YORK           NY,TEAM VNO
    34, Kaitlyn Kiernan,23,F,  12:50,   9/64,F1929,LEVITTOWN          NY,TEAM VNO
   306, Carol Hipkins,48,F,  12:50,   7/35,F4049,HOBOKEN            NJ,TEAM AIRRABITO
   345, Vy Bui,28,F,  12:51,  10/64,F1929,?,CPA'S ON THE RISE
