Tower Climb & Run--San Antonio 2015
2015-2-7
http://www.cff.org/Chapters/lonestar/index.cfm?id=25708&event=25708
150
1,Duane MILLER,,M,527,00:19:37.160,00:05:14.980,6:10 min/m,00:14:22.180,48.53 stair/min
1,David FAHEY,,M,00:12:06.970,00:05:14.253,6:09 min/m,00:06:52.717,78.68 stair/min,
2,Thomas H CURRAN,,M,00:12:53.377,00:05:20.573,6:17 min/m,00:07:32.803,73.89 stair/min,
3,Nathaniel ZAPATA,,M,00:13:10.347,00:05:17.230,6:13 min/m,00:07:53.117,72.30 stair/min,
4,Evan MCSHANE,,M,00:13:26.213,00:04:49.390,5:40 min/m,00:08:36.823,70.87 stair/min,
5,Randal OTTO,,M,00:13:53.417,00:05:19.090,6:15 min/m,00:08:34.327,68.57 stair/min,
6,Devin FLOURNOY,,M,00:14:01.873,00:05:19.123,6:15 min/m,00:08:42.750,67.92 stair/min,
7,Chandler POTTS,,M,00:14:03.523,00:04:49.790,5:40 min/m,00:09:13.733,67.76 stair/min,
8,Michael DEVLEESCHOWER,,M,00:14:06.393,00:05:10.400,6:05 min/m,00:08:55.993,67.52 stair/min,
9,Ian FULLER,,M,00:14:06.693,00:05:04.813,5:58 min/m,00:09:01.880,67.52 stair/min,
10,Bryan POTTS,,M,00:14:06.917,00:05:52.543,6:54 min/m,00:08:14.373,67.52 stair/min,
1,Wesley DE LA ROSA,,M,00:14:15.590,00:06:14.013,7:20 min/m,00:08:01.577,66.81 stair/min,
2,Kyle KUCHAREK,,M,00:14:16.970,00:05:41.157,6:41 min/m,00:08:35.813,66.73 stair/min,
3,Jaime QUINTANILLA,,M,00:14:18.890,00:05:43.030,6:43 min/m,00:08:35.860,66.57 stair/min,
4,Brandon CUTLER,,M,00:14:29.090,00:05:24.450,6:21 min/m,00:09:04.640,65.73 stair/min,
5,Steven RANGEL,,M,00:14:34.943,00:06:13.310,7:19 min/m,00:08:21.633,65.35 stair/min,
6,Matthew GARZA,,M,00:14:37.173,00:05:23.680,6:20 min/m,00:09:13.493,65.13 stair/min,
7,Donovan DELGADO,,M,00:14:40.443,00:06:02.323,7:06 min/m,00:08:38.120,64.91 stair/min,
8,Shane LAFEVER,,M,00:14:41.437,00:05:46.050,6:47 min/m,00:08:55.387,64.84 stair/min,
9,Zach BANKSTON,,M,00:14:43.933,00:06:24.110,7:31 min/m,00:08:19.823,64.69 stair/min,
10,Albert RODRIGUEZ,,M,00:14:50.713,00:06:09.083,7:14 min/m,00:08:41.630,64.18 stair/min,
11,Chris ROCHA,,M,00:14:52.027,00:05:35.543,6:34 min/m,00:09:16.483,64.04 stair/min,
12,John WINGFIELD,,M,00:14:57.350,00:06:12.583,7:18 min/m,00:08:44.767,63.68 stair/min,
13,Andrew GLENNA,,M,00:14:58.787,00:05:38.550,6:38 min/m,00:09:20.237,63.61 stair/min,
14,Omar GARCIA,,M,00:14:59.407,00:06:20.580,7:27 min/m,00:08:38.827,63.54 stair/min,
15,Ed PURVIS,,M,00:15:07.803,00:06:12.793,7:18 min/m,00:08:55.010,62.98 stair/min,
16,Michael BROWN,,M,00:15:14.937,00:06:05.557,7:10 min/m,00:09:09.380,62.49 stair/min,
17,Siobhan WALSH,,M,00:15:16.043,00:05:38.703,6:38 min/m,00:09:37.340,62.36 stair/min,
18,Benjamin MATA,,M,00:15:31.403,00:05:20.810,6:17 min/m,00:10:10.593,61.35 stair/min,
19,Matt SPEER,,M,00:15:32.363,00:06:21.953,7:29 min/m,00:09:10.410,61.29 stair/min,
20,Ken WERTZ,,M,00:15:42.723,00:05:49.677,6:51 min/m,00:09:53.047,60.64 stair/min,
21,Viraj MEHTA,,M,00:15:44.243,00:06:29.673,7:38 min/m,00:09:14.570,60.51 stair/min,
22,Ernie ZUNIGA,,M,00:15:48.110,00:06:15.597,7:21 min/m,00:09:32.513,60.25 stair/min,
23,Marco ARROYO,,M,00:15:48.443,00:05:31.817,6:30 min/m,00:10:16.627,60.25 stair/min,
24,Thomas PONCE,,M,00:15:52.340,00:06:16.280,7:22 min/m,00:09:36.060,60.00 stair/min,
25,Greg SNYDER,,M,00:16:04.650,00:06:10.003,7:15 min/m,00:09:54.647,59.25 stair/min,
26,Matthew FELAN,,M,00:16:06.457,00:06:06.760,7:11 min/m,00:09:59.697,59.13 stair/min,
1,Jeff SHOKRIAN,,M,00:16:07.673,00:06:46.850,7:58 min/m,00:09:20.823,59.07 stair/min,
2,Richard ESQUIVEL,,M,00:16:16.593,00:05:56.940,6:59 min/m,00:10:19.653,58.52 stair/min,
3,Eloy FLORES III,,M,00:16:17.517,00:06:08.957,7:14 min/m,00:10:08.560,58.46 stair/min,
4,Michael DOHERTY,,M,00:16:24.780,00:05:49.870,6:51 min/m,00:10:34.910,58.05 stair/min,
5,Robert GARCIA,,M,00:16:26.673,00:06:52.870,8:05 min/m,00:09:33.803,57.93 stair/min,
6,Jon LONGENECKER,,M,00:16:34.207,00:06:36.093,7:45 min/m,00:09:58.113,57.46 stair/min,
7,Greg VARGAS,,M,00:16:38.473,00:05:16.020,6:11 min/m,00:11:22.453,57.23 stair/min,
8,Jake COWAN,,M,00:16:43.673,00:05:15.427,6:11 min/m,00:11:28.247,56.95 stair/min,
9,Emeterio HERO,,M,00:16:47.407,00:05:43.223,6:43 min/m,00:11:04.183,56.72 stair/min,
10,Ricardo GONZALEZ,,M,00:16:48.367,00:06:42.700,7:53 min/m,00:10:05.667,56.67 stair/min,
11,Nic RYAN,,M,00:16:49.877,00:06:21.367,7:28 min/m,00:10:28.510,56.61 stair/min,
12,Tim GUILLAUME,,M,00:16:58.643,00:05:46.820,6:48 min/m,00:11:11.823,56.11 stair/min,
13,Andrew NAVAIRA,,M,00:17:10.173,00:05:37.820,6:37 min/m,00:11:32.353,55.46 stair/min,
14,Josh VELASCO,,M,00:17:18.393,00:07:13.410,8:29 min/m,00:10:04.983,55.03 stair/min,
15,Thomas RAMIREZ,,M,00:17:21.120,00:07:12.507,8:28 min/m,00:10:08.613,54.87 stair/min,
16,Timothy CARDENAS,,M,00:17:23.113,00:06:16.107,7:22 min/m,00:11:07.007,54.77 stair/min,
17,Chester SPAULDING,,M,00:17:30.247,00:07:19.687,8:37 min/m,00:10:10.560,54.40 stair/min,
18,Sean PAGE,,M,00:17:31.070,00:06:19.187,7:26 min/m,00:11:11.883,54.35 stair/min,
19,Travis KLANN,,M,00:17:31.217,00:06:39.477,7:49 min/m,00:10:51.740,54.35 stair/min,
20,Garcia JOHNSON,,M,00:17:31.857,00:06:06.570,7:11 min/m,00:11:25.287,54.35 stair/min,
21,Bob ANDREASEN,,M,00:17:38.830,00:07:06.090,8:21 min/m,00:10:32.740,53.99 stair/min,
22,Sebastian MACIAS,,M,00:17:45.040,00:05:20.740,6:17 min/m,00:12:24.300,53.63 stair/min,
23,Ryan BEAUCHAMP,,M,00:17:45.377,00:06:22.510,7:30 min/m,00:11:22.867,53.63 stair/min,
24,Michael SIERLEJA,,M,00:17:45.803,00:07:08.810,8:24 min/m,00:10:36.993,53.63 stair/min,
25,Abel CAMPOS,,M,00:18:01.030,00:07:07.550,8:23 min/m,00:10:53.480,52.84 stair/min,
26,Steve JOHNSON,,M,00:18:04.713,00:07:12.463,8:28 min/m,00:10:52.250,52.69 stair/min,
27,George DAGGETT,,M,00:18:05.187,00:05:51.557,6:53 min/m,00:12:13.630,52.65 stair/min,
28,Ben KOEHLER,,M,00:18:06.103,00:07:24.133,8:42 min/m,00:10:41.970,52.60 stair/min,
29,Eric THOMAS,,M,00:18:13.873,00:07:06.497,8:21 min/m,00:11:07.377,52.26 stair/min,
30,Thomas ANDREWS,,M,00:18:17.607,00:05:41.313,6:41 min/m,00:12:36.293,52.07 stair/min,
31,Buck MEJORADO,,M,00:18:22.493,00:06:32.323,7:41 min/m,00:11:50.170,51.83 stair/min,
32,Mark CHACON,,M,00:18:26.787,00:06:32.567,7:41 min/m,00:11:54.220,51.65 stair/min,
33,Ernie VALDEZ,,M,00:18:27.013,00:06:52.360,8:05 min/m,00:11:34.653,51.60 stair/min,
34,Aaron ZIMMERLE,,M,00:18:30.433,00:06:39.310,7:49 min/m,00:11:51.123,51.46 stair/min,
35,Joshua WELLS,,M,00:18:31.583,00:05:42.560,6:43 min/m,00:12:49.023,51.41 stair/min,
36,Benjamin HERRING,,M,00:18:32.910,00:05:34.027,6:32 min/m,00:12:58.883,51.37 stair/min,
37,Scott STEWART,,M,00:18:43.043,00:06:16.597,7:23 min/m,00:12:26.447,50.86 stair/min,
38,Alvaro FERREL,,M,00:18:43.967,00:06:04.233,7:08 min/m,00:12:39.733,50.86 stair/min,
39,Michael WALLER,,M,00:18:45.027,00:06:25.437,7:33 min/m,00:12:19.590,50.77 stair/min,
40,Josue GUAJARDO,,M,00:18:46.877,00:06:45.853,7:57 min/m,00:12:01.023,50.73 stair/min,
41,Julio MATA,,M,00:18:50.193,00:07:19.430,8:36 min/m,00:11:30.763,50.55 stair/min,
42,Melissa WILLIAMS,,M,00:18:50.787,00:07:35.617,8:56 min/m,00:11:15.170,50.55 stair/min,
43,Raul CARRILLO,,M,00:18:51.060,00:06:53.927,8:06 min/m,00:11:57.133,50.50 stair/min,
44,Cody PORTER,,M,00:18:51.533,00:06:33.717,7:43 min/m,00:12:17.817,50.50 stair/min,
45,Kyle BURKHOLDER,,M,00:18:51.697,00:07:00.367,8:14 min/m,00:11:51.330,50.50 stair/min,
46,Albert GARCIA,,M,00:18:54.900,00:07:41.937,9:03 min/m,00:11:12.963,50.37 stair/min,
