2017 san antonio run climb
2017-1-30

200 # 42 people were in bonus range ( under 15:50 ) and added the max of 100 bonus to the 100 point base
15,Robert Hernandez,,MOA,05:02:00 AM,06:51:00 AM,11:53:00 AM
247,David Kelly,,M3140,05:04:00 AM,07:14:00 AM,12:18:00 PM
74,Dave Cauthon,,M3140,05:19:00 AM,07:08:00 AM,12:27:00 PM
159,Jason Garrahan,,M4150,05:31:00 AM,07:23:00 AM,12:55:00 PM
100,Cole Derosa,,M4150,05:01:00 AM,07:59:00 AM,01:00:00 PM
325,Marissa Murillo,,FOA,04:58:00 AM,08:20:00 AM,01:18:00 PM
111,Andrea Holt Duke,,F3140,05:39:00 AM,07:41:00 AM,01:21:00 PM
2953,Charles Gooding,,M2130,05:38:00 AM,07:53:00 AM,01:32:00 PM
75,Michael Caviston,,M5199,05:43:00 AM,08:00:00 AM,01:43:00 PM
116,Robert Elliott,,M4150,05:31:00 AM,08:19:00 AM,01:51:00 PM
429,Scott Sann,,M3140,05:18:00 AM,08:33:00 AM,01:52:00 PM
321,Tanner Montgomery,,M3140,05:45:00 AM,08:29:00 AM,02:15:00 PM
146,Duane Friesen,,M5199,06:16:00 AM,08:05:00 AM,02:22:00 PM
148,Cory Fujimoto,,M3140,06:09:00 AM,08:13:00 AM,02:23:00 PM
256,Fred Langham,,M5199,06:07:00 AM,08:25:00 AM,02:33:00 PM
228,Jose Huerta,,M3140,05:50:00 AM,08:50:00 AM,02:40:00 PM
132,Clay Flannigan,,M4150,06:02:00 AM,08:39:00 AM,02:41:00 PM
197,Frank Guffey,,M4150,05:57:00 AM,08:46:00 AM,02:43:00 PM
308,Leroy Mendoza,,M4150,06:11:00 AM,08:32:00 AM,02:43:00 PM
130,Alexa Fisher,,F120,06:08:00 AM,08:46:00 AM,02:55:00 PM
486,John Tracy,,M4150,05:34:00 AM,09:21:00 AM,02:56:00 PM
449,Ben Sims,,M120,06:24:00 AM,08:34:00 AM,02:58:00 PM
2907,Alexandro Wivrow,,M3140,06:04:00 AM,08:55:00 AM,03:00:00 PM
138,Eloy Flores Iii,,M3140,06:06:00 AM,09:03:00 AM,03:10:00 PM
106,Michael Doherty,,M3140,06:03:00 AM,09:07:00 AM,03:11:00 PM
444,Joseph Silewicz,,M2130,05:51:00 AM,09:20:00 AM,03:11:00 PM
2998,Cesar Diaz,,M4150,05:31:00 AM,09:40:00 AM,03:12:00 PM
93,Jeremy Dawley,,M3140,05:38:00 AM,09:46:00 AM,03:24:00 PM
248,Jonathan King,,M120,05:30:00 AM,09:55:00 AM,03:25:00 PM
230,Rico Jaeger,,M3140,06:01:00 AM,09:26:00 AM,03:28:00 PM
499,Jason Wagner,,M4150,05:50:00 AM,09:38:00 AM,03:28:00 PM
108,Keith Dowell,,M5199,05:46:00 AM,09:41:00 AM,03:28:00 PM
242,Melissa Johnson,,F3140,06:16:00 AM,09:13:00 AM,03:30:00 PM
232,Leland Jay,,M4150,05:54:00 AM,09:46:00 AM,03:40:00 PM
199,Guadalupe Gutierrez,,M2130,-0,-0,03:41:00 PM
131,Aria Fisher,,F120,06:10:00 AM,09:31:00 AM,03:41:00 PM
297,Dawn Mathis,,F3140,06:28:00 AM,09:12:00 AM,03:41:00 PM
298,John Mcallen,,M5199,06:12:00 AM,09:31:00 AM,03:44:00 PM
341,Steven Olson,,M3140,06:12:00 AM,09:33:00 AM,03:46:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
172,Nathan Golden,,M3140,06:07:00 AM,09:42:00 AM,03:49:00 PM
2990,Daniel Zapata,,M2130,-0,-0,03:50:00 PM
347,Randal Otto,,M5199,06:36:00 AM,09:18:00 AM,03:55:00 PM
205,Ted Hattori,,M5199,06:47:00 AM,09:13:00 AM,04:01:00 PM
101,Michael Devleeschower,,M120,06:11:00 AM,10:04:00 AM,04:16:00 PM
32,Jesse Beinhower,,M3140,05:32:00 AM,10:44:00 AM,04:17:00 PM
